ticker,date,period_ending,estimate,reported,surprise,surprise%
CLFD,22-JUL-21,Jun 2021,0.29,0.44,0.15,51.72
CLH,04-AUG-21,Jun 2021,0.78,1.19,0.41,52.56
CLPT,10-AUG-21,Jun 2021,-0.14,-0.17,-0.03,-21.43
CLR,02-AUG-21,Jun 2021,0.57,0.91,0.34,59.65
CLSK,16-AUG-21,Jun 2021,0.07,-0.49,-0.56,-800.0
CLVS,04-AUG-21,Jun 2021,-0.57,-0.61,-0.04,-7.02
CLW,04-AUG-21,Jun 2021,-1.53,-1.07,0.46,30.07
CLX,03-AUG-21,Jun 2021,1.29,0.95,-0.34,-26.36
CMA,21-JUL-21,Jun 2021,1.62,2.32,0.7,43.21
CMBM,09-AUG-21,Jun 2021,0.33,0.45,0.12,36.36
CMC,17-JUN-21,May 2021,0.81,1.04,0.23,28.4
CMCO,29-JUL-21,Jun 2021,0.41,0.69,0.28,68.29
CMCSA,29-JUL-21,Jun 2021,0.67,0.84,0.17,25.37
CME,28-JUL-21,Jun 2021,1.59,1.64,0.05,3.14
CMG,20-JUL-21,Jun 2021,6.46,7.46,1.0,15.48
CMI,03-AUG-21,Jun 2021,4.06,4.15,0.09,2.22
CMPR,28-JUL-21,Jun 2021,-0.17,-0.45,-0.28,-164.71
CMRE,28-JUL-21,Jun 2021,0.47,0.47,0.0,0.0
CMRX,05-AUG-21,Jun 2021,-0.19,-0.21,-0.02,-10.53
CMS,29-JUL-21,Jun 2021,0.46,0.55,0.09,19.57
CMTL,04-OCT-21,Jul 2021,0.24,0.28,0.04,16.67
CNA,02-AUG-21,Jun 2021,1.12,1.25,0.13,11.61
CNC,27-JUL-21,Jun 2021,1.41,1.25,-0.16,-11.35
CNDT,05-AUG-21,Jun 2021,0.16,0.2,0.04,25.0
CNK,06-AUG-21,Jun 2021,-1.13,-1.19,-0.06,-5.31
CNMD,28-JUL-21,Jun 2021,0.62,0.71,0.09,14.52
CNNE,05-AUG-21,Jun 2021,-0.19,1.94,2.13,1121.05
CNO,28-JUL-21,Jun 2021,0.54,0.66,0.12,22.22
CNOB,29-JUL-21,Jun 2021,0.72,0.81,0.09,12.5
CNP,05-AUG-21,Jun 2021,0.25,0.36,0.11,44.0
CNR,03-AUG-21,Jun 2021,0.36,0.67,0.31,86.11
CNTY,06-AUG-21,Jun 2021,0.01,0.22,0.21,2100.0
CNX,29-JUL-21,Jun 2021,0.25,0.18,-0.07,-28.0
CNXC,23-JUN-21,May 2021,2.26,2.37,0.11,4.87
CNXN,05-AUG-21,Jun 2021,0.7,0.66,-0.04,-5.71
COF,22-JUL-21,Jun 2021,4.78,7.71,2.93,61.3
COGT,16-AUG-21,Jun 2021,-0.39,-0.43,-0.04,-10.26
COHR,11-AUG-21,Jun 2021,1.71,1.81,0.1,5.85
COHU,29-JUL-21,Jun 2021,0.78,0.89,0.11,14.1
COLB,29-JUL-21,Jun 2021,0.67,0.77,0.1,14.93
COLD,05-AUG-21,Jun 2021,0.32,-0.05,-0.37,-115.63
COLL,05-AUG-21,Jun 2021,0.34,0.27,-0.07,-20.59
COLM,02-AUG-21,Jun 2021,-0.12,0.61,0.73,608.33
COMM,05-AUG-21,Jun 2021,0.44,0.43,-0.01,-2.27
CONN,01-SEP-21,Jul 2021,0.7,1.22,0.52,74.29
COO,02-SEP-21,Jul 2021,3.3,3.41,0.11,3.33
COOP,29-JUL-21,Jun 2021,1.6,1.92,0.32,20.0
COP,03-AUG-21,Jun 2021,1.15,1.27,0.12,10.43
CORT,29-JUL-21,Jun 2021,0.14,0.21,0.07,50.0
COTY,26-AUG-21,Jun 2021,-0.05,-0.09,-0.04,-80.0
COUP,07-SEP-21,Jul 2021,-0.07,0.26,0.33,471.43
COWN,28-JUL-21,Jun 2021,1.27,1.5,0.23,18.11
CPA,04-AUG-21,Jun 2021,-1.08,-0.38,0.7,64.81
CPB,01-SEP-21,Jul 2021,0.47,0.55,0.08,17.02
CPE,04-AUG-21,Jun 2021,1.42,1.49,0.07,4.93
CPF,28-JUL-21,Jun 2021,0.57,0.66,0.09,15.79
CPK,04-AUG-21,Jun 2021,0.75,0.78,0.03,4.0
CPRI,30-JUL-21,Jun 2021,0.79,1.42,0.63,79.75
CPRT,08-SEP-21,Jul 2021,0.89,1.03,0.14,15.73
CPRX,09-AUG-21,Jun 2021,0.09,0.16,0.07,77.78
CPSI,03-AUG-21,Jun 2021,0.59,0.75,0.16,27.12
CPT,29-JUL-21,Jun 2021,1.27,1.28,0.01,0.79
CR,26-JUL-21,Jun 2021,1.39,1.83,0.44,31.65
CRAI,05-AUG-21,Jun 2021,0.93,1.53,0.6,64.52
CRI,30-JUL-21,Jun 2021,0.72,1.67,0.95,131.94
CRIS,03-AUG-21,Jun 2021,-0.11,-0.12,-0.01,-9.09
CRK,03-AUG-21,Jun 2021,0.18,0.22,0.04,22.22
CRL,04-AUG-21,Jun 2021,2.39,2.61,0.22,9.21
CRM,25-AUG-21,Jul 2021,0.91,1.48,0.57,62.64
CRMT,17-AUG-21,Jul 2021,3.55,3.57,0.02,0.56
CRNC,09-AUG-21,Jun 2021,0.53,0.62,0.09,16.98
CRNX,10-AUG-21,Jun 2021,-0.6,-0.7,-0.1,-16.67
CROX,22-JUL-21,Jun 2021,1.62,2.23,0.61,37.65
CRS,29-JUL-21,Jun 2021,-0.51,-0.28,0.23,45.1
CRSR,03-AUG-21,Jun 2021,0.43,0.36,-0.07,-16.28
CRTX,09-AUG-21,Jun 2021,-0.7,-0.74,-0.04,-5.71
CRUS,28-JUL-21,Jun 2021,0.39,0.54,0.15,38.46
CRWD,31-AUG-21,Jul 2021,0.09,0.11,0.02,22.22
CSCO,18-AUG-21,Jul 2021,0.83,0.84,0.01,1.2
CSGP,27-JUL-21,Jun 2021,0.23,0.26,0.03,13.04
CSGS,04-AUG-21,Jun 2021,0.8,0.82,0.02,2.5
CSII,04-AUG-21,Jun 2021,-0.17,-0.14,0.03,17.65
CSL,22-JUL-21,Jun 2021,2.09,2.16,0.07,3.35
CSR,02-AUG-21,Jun 2021,0.93,0.95,0.02,2.15
CSSE,11-AUG-21,Jun 2021,-0.56,-0.79,-0.23,-41.07
CSTL,09-AUG-21,Jun 2021,-0.29,-0.34,-0.05,-17.24
CSTM,28-JUL-21,Jun 2021,0.21,0.88,0.67,319.05
CSTR,22-JUL-21,Jun 2021,0.58,0.55,-0.03,-5.17
CSV,27-JUL-21,Jun 2021,0.5,0.64,0.14,28.0
CSWI,04-AUG-21,Jun 2021,1.16,1.46,0.3,25.86
CSX,21-JUL-21,Jun 2021,0.37,0.4,0.03,8.11
CTAS,15-JUL-21,May 2021,2.33,2.47,0.14,6.01
CTBI,21-JUL-21,Jun 2021,1.11,1.34,0.23,20.72
CTLT,30-AUG-21,Jun 2021,1.04,1.16,0.12,11.54
CTMX,05-AUG-21,Jun 2021,-0.26,-0.3,-0.04,-15.38
CTO,29-JUL-21,Jun 2021,1.03,-0.63,-1.66,-161.17
CTRE,05-AUG-21,Jun 2021,0.37,0.22,-0.15,-40.54
CTRN,24-AUG-21,Jul 2021,0.47,1.36,0.89,189.36
CTSH,28-JUL-21,Jun 2021,0.96,0.99,0.03,3.13
CTSO,03-AUG-21,Jun 2021,-0.03,-0.11,-0.08,-266.67
CTT,05-AUG-21,Jun 2021,-0.04,0.04,0.08,200.0
CTVA,05-AUG-21,Jun 2021,1.25,1.4,0.15,12.0
CTXS,29-JUL-21,Jun 2021,1.19,1.24,0.05,4.2
CUBE,29-JUL-21,Jun 2021,0.47,0.5,0.03,6.38
CUBI,28-JUL-21,Jun 2021,2.08,1.76,-0.32,-15.38
CUE,09-AUG-21,Jun 2021,-0.42,-0.33,0.09,21.43
CURO,28-JUL-21,Jun 2021,0.27,0.4,0.13,48.15
CUTR,04-AUG-21,Jun 2021,0.07,0.28,0.21,300.0
CUZ,29-JUL-21,Jun 2021,0.68,0.69,0.01,1.47
CVBF,21-JUL-21,Jun 2021,0.35,0.38,0.03,8.57
CVCO,05-AUG-21,Jun 2021,2.11,2.92,0.81,38.39
CVET,05-AUG-21,Jun 2021,0.23,-0.26,-0.49,-213.04
CVGW,08-SEP-21,Jul 2021,-0.18,-0.17,0.01,5.56
CVI,02-AUG-21,Jun 2021,-0.75,-0.32,0.43,57.33
CVLT,27-JUL-21,Jun 2021,0.51,0.62,0.11,21.57
CVM,16-AUG-21,Jun 2021,-0.13,-0.25,-0.12,-92.31
CVNA,05-AUG-21,Jun 2021,-0.37,0.26,0.63,170.27
CVS,04-AUG-21,Jun 2021,2.07,2.42,0.35,16.91
CVX,30-JUL-21,Jun 2021,1.54,1.71,0.17,11.04
CW,03-AUG-21,Jun 2021,1.53,1.56,0.03,1.96
CWEN,03-AUG-21,Jun 2021,0.42,0.3,-0.12,-28.57
CWENA,03-AUG-21,Jun 2021,0.13,0.3,0.17,130.77
CWH,03-AUG-21,Jun 2021,2.22,2.51,0.29,13.06
CWK,05-AUG-21,Jun 2021,0.23,0.5,0.27,117.39
CWST,29-JUL-21,Jun 2021,0.24,0.25,0.01,4.17
CWT,29-JUL-21,Jun 2021,0.37,0.75,0.38,102.7
CXW,09-AUG-21,Jun 2021,0.42,0.46,0.04,9.52
CYRX,05-AUG-21,Jun 2021,-0.13,-0.16,-0.03,-23.08
CYTK,05-AUG-21,Jun 2021,-0.65,-0.86,-0.21,-32.31
CZNC,06-AUG-21,Jun 2021,0.47,0.44,-0.03,-6.38
CZR,03-AUG-21,Jun 2021,-0.26,0.48,0.74,284.62
D,06-AUG-21,Jun 2021,0.77,0.76,-0.01,-1.3
DAL,14-JUL-21,Jun 2021,-1.41,-1.07,0.34,24.11
DAN,30-JUL-21,Jun 2021,0.49,0.59,0.1,20.41
DAR,10-AUG-21,Jun 2021,0.82,1.17,0.35,42.68
DBD,29-JUL-21,Jun 2021,0.29,0.1,-0.19,-65.52
DBI,31-AUG-21,Jul 2021,0.18,0.56,0.38,211.11
DBX,05-AUG-21,Jun 2021,0.33,0.4,0.07,21.21
DCI,02-SEP-21,Jul 2021,0.66,0.66,0.0,0.0
DCO,12-AUG-21,Jun 2021,0.65,0.74,0.09,13.85
DCOM,30-JUL-21,Jun 2021,1.05,0.94,-0.11,-10.48
DCPH,03-AUG-21,Jun 2021,-1.15,-1.21,-0.06,-5.22
DCT,08-JUL-21,May 2021,-0.01,0.03,0.04,400.0
DD,03-AUG-21,Jun 2021,0.94,1.06,0.12,12.77
DDD,09-AUG-21,Jun 2021,0.05,0.12,0.07,140.0
DDOG,05-AUG-21,Jun 2021,0.03,0.09,0.06,200.0
DDS,12-AUG-21,Jul 2021,2.45,8.81,6.36,259.59
DE,20-AUG-21,Jul 2021,4.49,5.32,0.83,18.49
DEA,03-AUG-21,Jun 2021,0.33,0.1,-0.23,-69.7
DECK,29-JUL-21,Jun 2021,-0.04,1.71,1.75,4375.0
DEI,03-AUG-21,Jun 2021,0.44,0.47,0.03,6.82
DELL,26-AUG-21,Jul 2021,2.05,2.24,0.19,9.27
DENN,03-AUG-21,Jun 2021,0.12,0.18,0.06,50.0
DFIN,04-AUG-21,Jun 2021,0.87,1.38,0.51,58.62
DFS,21-JUL-21,Jun 2021,3.68,5.55,1.87,50.82
DG,26-AUG-21,Jul 2021,2.59,2.69,0.1,3.86
DGII,04-AUG-21,Jun 2021,0.1,0.09,-0.01,-10.0
DGX,22-JUL-21,Jun 2021,2.87,3.18,0.31,10.8
DHC,04-AUG-21,Jun 2021,0.02,-0.14,-0.16,-800.0
DHI,22-JUL-21,Jun 2021,2.83,3.06,0.23,8.13
DHR,22-JUL-21,Jun 2021,2.04,2.46,0.42,20.59
DHT,09-AUG-21,Jun 2021,-0.11,-0.09,0.02,18.18
DIN,05-AUG-21,Jun 2021,1.74,1.94,0.2,11.49
DIOD,05-AUG-21,Jun 2021,1.12,1.2,0.08,7.14
DIS,12-AUG-21,Jun 2021,0.57,0.8,0.23,40.35
DISH,09-AUG-21,Jun 2021,0.9,1.06,0.16,17.78
DK,03-AUG-21,Jun 2021,-1.01,-0.88,0.13,12.87
DKNG,06-AUG-21,Jun 2021,-0.61,-0.76,-0.15,-24.59
DKS,25-AUG-21,Jul 2021,2.8,5.08,2.28,81.43
DLB,29-JUL-21,Jun 2021,0.48,0.71,0.23,47.92
DLR,29-JUL-21,Jun 2021,1.58,1.54,-0.04,-2.53
DLTR,26-AUG-21,Jul 2021,1.03,1.23,0.2,19.42
DM,11-AUG-21,Jun 2021,-0.1,-0.08,0.02,20.0
DNB,03-AUG-21,Jun 2021,0.24,0.25,0.01,4.17
DNLI,04-AUG-21,Jun 2021,-0.37,-0.5,-0.13,-35.14
DOC,04-AUG-21,Jun 2021,0.27,0.26,-0.01,-3.7
DOCU,02-SEP-21,Jul 2021,0.39,0.47,0.08,20.51
DOMO,26-AUG-21,Jul 2021,-0.38,-0.3,0.08,21.05
DOOR,09-AUG-21,Jun 2021,2.08,2.23,0.15,7.21
DORM,26-JUL-21,Jun 2021,1.01,1.1,0.09,8.91
DOV,20-JUL-21,Jun 2021,1.84,2.06,0.22,11.96
DOW,22-JUL-21,Jun 2021,2.48,2.72,0.24,9.68
DOX,04-AUG-21,Jun 2021,1.18,1.35,0.17,14.41
DPZ,22-JUL-21,Jun 2021,2.86,3.12,0.26,9.09
DRE,28-JUL-21,Jun 2021,0.43,0.47,0.04,9.3
DRH,05-AUG-21,Jun 2021,-0.03,0.05,0.08,266.67
DRI,24-JUN-21,May 2021,1.82,2.03,0.21,11.54
DRQ,29-JUL-21,Jun 2021,-0.08,-0.53,-0.45,-562.5
DRRX,29-JUL-21,Jun 2021,-0.04,-0.04,0.0,0.0
DSKE,03-AUG-21,Jun 2021,0.09,0.49,0.4,444.44
DT,28-JUL-21,Jun 2021,0.14,0.16,0.02,14.29
DTE,27-JUL-21,Jun 2021,1.44,1.7,0.26,18.06
DTIL,12-AUG-21,Jun 2021,-0.38,0.36,0.74,194.74
DUK,05-AUG-21,Jun 2021,1.12,1.15,0.03,2.68
DV,29-JUL-21,Jun 2021,0.01,0.02,0.01,100.0
DVA,03-AUG-21,Jun 2021,2.14,2.64,0.5,23.36
DVAX,04-AUG-21,Jun 2021,-0.04,0.02,0.06,150.0
DVN,03-AUG-21,Jun 2021,0.53,0.6,0.07,13.21
DXC,04-AUG-21,Jun 2021,0.75,0.84,0.09,12.0
DXCM,29-JUL-21,Jun 2021,0.43,0.76,0.33,76.74
DY,01-SEP-21,Jul 2021,0.73,0.6,-0.13,-17.81
DYN,05-AUG-21,Jun 2021,-0.55,-0.58,-0.03,-5.45
DZSI,02-AUG-21,Jun 2021,-0.03,-0.03,0.0,0.0
EA,04-AUG-21,Jun 2021,0.63,0.63,0.0,0.0
EAF,06-AUG-21,Jun 2021,0.39,0.43,0.04,10.26
EAR,12-AUG-21,Jun 2021,-0.25,-0.36,-0.11,-44.0
EAT,18-AUG-21,Jun 2021,1.7,1.68,-0.02,-1.18
EB,05-AUG-21,Jun 2021,-0.33,-0.22,0.11,33.33
EBAY,11-AUG-21,Jun 2021,0.99,0.99,0.0,0.0
EBS,29-JUL-21,Jun 2021,1.81,0.33,-1.48,-81.77
ECL,27-JUL-21,Jun 2021,1.18,1.22,0.04,3.39
ECOL,29-JUL-21,Jun 2021,0.16,0.1,-0.06,-37.5
ECOM,05-AUG-21,Jun 2021,0.19,0.26,0.07,36.84
ECPG,04-AUG-21,Jun 2021,2.09,3.3,1.21,57.89
ED,05-AUG-21,Jun 2021,0.62,0.53,-0.09,-14.52
EDIT,04-AUG-21,Jun 2021,-0.85,-0.81,0.04,4.71
EEFT,27-JUL-21,Jun 2021,0.73,0.53,-0.2,-27.4
EFC,05-AUG-21,Jun 2021,0.44,0.51,0.07,15.91
EFSC,26-JUL-21,Jun 2021,1.11,1.23,0.12,10.81
EFX,21-JUL-21,Jun 2021,1.71,1.98,0.27,15.79
EGAN,01-SEP-21,Jun 2021,0.03,0.08,0.05,166.67
EGBN,21-JUL-21,Jun 2021,1.22,1.5,0.28,22.95
EGHT,04-AUG-21,Jun 2021,0.01,0.01,0.0,0.0
EGLE,05-AUG-21,Jun 2021,2.7,2.63,-0.07,-2.59
EGP,27-JUL-21,Jun 2021,1.45,1.47,0.02,1.38
EGRX,09-AUG-21,Jun 2021,0.88,0.93,0.05,5.68
EHC,27-JUL-21,Jun 2021,1.01,1.17,0.16,15.84
EHTH,29-JUL-21,Jun 2021,-0.61,-0.45,0.16,26.23
EIG,22-JUL-21,Jun 2021,0.52,0.41,-0.11,-21.15
EIX,29-JUL-21,Jun 2021,0.99,0.94,-0.05,-5.05
EL,19-AUG-21,Jun 2021,0.51,0.78,0.27,52.94
ELAN,09-AUG-21,Jun 2021,0.26,0.28,0.02,7.69
ELF,04-AUG-21,Jun 2021,0.14,0.27,0.13,92.86
ELS,19-JUL-21,Jun 2021,0.54,0.61,0.07,12.96
ELY,09-AUG-21,Jun 2021,-0.01,0.36,0.37,3700.0
EME,29-JUL-21,Jun 2021,1.59,1.78,0.19,11.95
EMKR,04-AUG-21,Jun 2021,0.17,0.2,0.03,17.65
EMN,02-AUG-21,Jun 2021,2.32,2.46,0.14,6.03
EMR,04-AUG-21,Jun 2021,0.98,1.09,0.11,11.22
ENDP,05-AUG-21,Jun 2021,0.42,0.65,0.23,54.76
ENPH,27-JUL-21,Jun 2021,0.42,0.53,0.11,26.19
ENR,09-AUG-21,Jun 2021,0.66,0.74,0.08,12.12
ENS,11-AUG-21,Jun 2021,1.2,1.25,0.05,4.17
ENSG,28-JUL-21,Jun 2021,0.88,0.89,0.01,1.14
ENTA,05-AUG-21,Jun 2021,-1.41,-1.19,0.22,15.6
ENTG,27-JUL-21,Jun 2021,0.8,0.85,0.05,6.25
ENV,05-AUG-21,Jun 2021,0.54,0.67,0.13,24.07
ENVA,29-JUL-21,Jun 2021,1.43,2.26,0.83,58.04
EOG,04-AUG-21,Jun 2021,1.54,1.73,0.19,12.34
EOLS,04-AUG-21,Jun 2021,-0.24,-0.27,-0.03,-12.5
EPAM,05-AUG-21,Jun 2021,1.93,2.05,0.12,6.22
EPAY,10-AUG-21,Jun 2021,0.27,0.27,0.0,0.0
EPC,05-AUG-21,Jun 2021,0.8,0.89,0.09,11.25
EPR,27-JUL-21,Jun 2021,0.62,0.71,0.09,14.52
EPRT,28-JUL-21,Jun 2021,0.3,0.2,-0.1,-33.33
EPZM,09-AUG-21,Jun 2021,-0.6,-0.63,-0.03,-5.0
EQBK,19-JUL-21,Jun 2021,0.57,1.09,0.52,91.23
EQH,04-AUG-21,Jun 2021,1.37,1.71,0.34,24.82
EQIX,28-JUL-21,Jun 2021,6.72,7.01,0.29,4.32
EQR,27-JUL-21,Jun 2021,0.7,0.84,0.14,20.0
EQT,28-JUL-21,Jun 2021,0.04,0.07,0.03,75.0
ERIE,29-JUL-21,Jun 2021,1.51,1.51,0.0,0.0
ERII,05-AUG-21,Jun 2021,-0.01,0.02,0.03,300.0
ES,29-JUL-21,Jun 2021,0.8,0.79,-0.01,-1.25
ESI,28-JUL-21,Jun 2021,0.34,0.35,0.01,2.94
ESNT,06-AUG-21,Jun 2021,1.26,1.42,0.16,12.7
ESPR,03-AUG-21,Jun 2021,-1.82,-1.67,0.15,8.24
ESRT,28-JUL-21,Jun 2021,0.14,0.01,-0.13,-92.86
ESS,29-JUL-21,Jun 2021,2.99,3.04,0.05,1.67
ESTC,25-AUG-21,Jul 2021,-0.11,0.04,0.15,136.36
ESTE,04-AUG-21,Jun 2021,0.19,0.26,0.07,36.84
ETN,03-AUG-21,Jun 2021,1.55,1.72,0.17,10.97
ETR,04-AUG-21,Jun 2021,1.41,1.34,-0.07,-4.96
ETRN,03-AUG-21,Jun 2021,0.15,0.13,-0.02,-13.33
ETSY,04-AUG-21,Jun 2021,0.59,0.68,0.09,15.25
EVBG,09-AUG-21,Jun 2021,-0.23,0.03,0.26,113.04
EVC,05-AUG-21,Jun 2021,0.08,0.09,0.01,12.5
EVER,02-AUG-21,Jun 2021,-0.1,-0.07,0.03,30.0
EVH,04-AUG-21,Jun 2021,-0.06,-0.02,0.04,66.67
EVLO,29-JUL-21,Jun 2021,-0.54,-0.59,-0.05,-9.26
EVOP,04-AUG-21,Jun 2021,0.17,0.21,0.04,23.53
EVR,28-JUL-21,Jun 2021,2.82,3.17,0.35,12.41
EVRG,05-AUG-21,Jun 2021,0.74,0.85,0.11,14.86
EVRI,04-AUG-21,Jun 2021,0.32,0.36,0.04,12.5
EVTC,03-AUG-21,Jun 2021,0.57,0.78,0.21,36.84
EW,29-JUL-21,Jun 2021,0.55,0.64,0.09,16.36
EWBC,22-JUL-21,Jun 2021,1.38,1.57,0.19,13.77
EXAS,28-JUL-21,Jun 2021,-0.72,-1.03,-0.31,-43.06
EXC,04-AUG-21,Jun 2021,0.7,0.89,0.19,27.14
EXEL,05-AUG-21,Jun 2021,0.05,0.3,0.25,500.0
EXLS,29-JUL-21,Jun 2021,1.01,1.14,0.13,12.87
EXP,28-JUL-21,Jun 2021,2.11,2.25,0.14,6.64
EXPD,03-AUG-21,Jun 2021,1.63,1.84,0.21,12.88
EXPE,05-AUG-21,Jun 2021,-0.76,-1.13,-0.37,-48.68
EXPI,04-AUG-21,Jun 2021,0.05,0.24,0.19,380.0
EXPO,29-JUL-21,Jun 2021,0.42,0.48,0.06,14.29
EXR,27-JUL-21,Jun 2021,1.56,1.64,0.08,5.13
EXTR,28-JUL-21,Jun 2021,0.18,0.19,0.01,5.56
EYE,12-AUG-21,Jun 2021,0.23,0.48,0.25,108.7
EYPT,04-AUG-21,Jun 2021,-0.45,-0.35,0.1,22.22
EZPW,04-AUG-21,Jun 2021,0.01,-0.03,-0.04,-400.0
F,28-JUL-21,Jun 2021,-0.11,0.13,0.24,218.18
FAF,22-JUL-21,Jun 2021,1.63,2.13,0.5,30.67
FANG,02-AUG-21,Jun 2021,2.25,2.4,0.15,6.67
FARO,28-JUL-21,Jun 2021,0.19,0.12,-0.07,-36.84
FAST,13-JUL-21,Jun 2021,0.41,0.42,0.01,2.44
FATE,04-AUG-21,Jun 2021,-0.52,-0.58,-0.06,-11.54
FB,28-JUL-21,Jun 2021,3.03,3.61,0.58,19.14
FBC,28-JUL-21,Jun 2021,1.98,2.74,0.76,38.38
FBHS,28-JUL-21,Jun 2021,1.37,1.56,0.19,13.87
FBK,19-JUL-21,Jun 2021,0.82,0.88,0.06,7.32
FBMS,26-JUL-21,Jun 2021,0.77,0.74,-0.03,-3.9
FBNC,27-JUL-21,Jun 2021,0.93,1.03,0.1,10.75
FBP,23-JUL-21,Jun 2021,0.27,0.36,0.09,33.33
FC,30-JUN-21,May 2021,-0.07,0.18,0.25,357.14
FCBC,28-JUL-21,Jun 2021,0.59,0.76,0.17,28.81
FCEL,14-SEP-21,Jul 2021,-0.05,-0.04,0.01,20.0
FCF,27-JUL-21,Jun 2021,0.3,0.31,0.01,3.33
FCFS,21-JUL-21,Jun 2021,0.54,0.71,0.17,31.48
FCN,29-JUL-21,Jun 2021,1.44,1.74,0.3,20.83
FCNCA,03-AUG-21,Jun 2021,12.95,15.09,2.14,16.53
FCPT,04-AUG-21,Jun 2021,0.39,0.38,-0.01,-2.56
FCX,22-JUL-21,Jun 2021,0.73,0.77,0.04,5.48
FDS,29-JUN-21,May 2021,2.75,2.72,-0.03,-1.09
FDX,24-JUN-21,May 2021,5.04,5.01,-0.03,-0.6
FE,22-JUL-21,Jun 2021,0.59,0.59,0.0,0.0
FELE,27-JUL-21,Jun 2021,0.85,0.83,-0.02,-2.35
FFBC,22-JUL-21,Jun 2021,0.51,0.58,0.07,13.73
FFIC,27-JUL-21,Jun 2021,0.68,0.73,0.05,7.35
FFIN,22-JUL-21,Jun 2021,0.39,0.39,0.0,0.0
FFIV,26-JUL-21,Jun 2021,2.47,2.76,0.29,11.74
FFWM,27-JUL-21,Jun 2021,0.52,0.58,0.06,11.54
FGEN,09-AUG-21,Jun 2021,-0.48,-1.45,-0.97,-202.08
FHB,23-JUL-21,Jun 2021,0.46,0.68,0.22,47.83
FHN,16-JUL-21,Jun 2021,0.43,0.58,0.15,34.88
FIBK,27-JUL-21,Jun 2021,0.73,0.69,-0.04,-5.48
FICO,03-AUG-21,Jun 2021,2.78,3.38,0.6,21.58
FIS,03-AUG-21,Jun 2021,1.55,1.61,0.06,3.87
FISI,29-JUL-21,Jun 2021,0.8,1.25,0.45,56.25
FISV,27-JUL-21,Jun 2021,1.29,1.37,0.08,6.2
FITB,22-JUL-21,Jun 2021,0.83,0.94,0.11,13.25
FIVE,01-SEP-21,Jul 2021,1.11,1.15,0.04,3.6
FIVN,27-JUL-21,Jun 2021,0.14,0.23,0.09,64.29
FIX,28-JUL-21,Jun 2021,0.93,0.9,-0.03,-3.23
FIZZ,09-SEP-21,Jul 2021,0.48,0.58,0.1,20.83
FL,20-AUG-21,Jul 2021,1.08,2.21,1.13,104.63
FLGT,09-AUG-21,Jun 2021,2.57,2.55,-0.02,-0.78
FLIC,29-JUL-21,Jun 2021,0.45,0.48,0.03,6.67
FLO,12-AUG-21,Jun 2021,0.28,0.32,0.04,14.29
FLR,06-AUG-21,Jun 2021,0.06,0.32,0.26,433.33
FLS,05-AUG-21,Jun 2021,0.43,0.37,-0.06,-13.95
FLT,04-AUG-21,Jun 2021,2.92,3.15,0.23,7.88
FLWS,26-AUG-21,Jun 2021,0.2,0.2,0.0,0.0
FMBH,29-JUL-21,Jun 2021,0.93,0.98,0.05,5.38
FMC,03-AUG-21,Jun 2021,1.77,1.81,0.04,2.26
FMNB,28-JUL-21,Jun 2021,0.43,0.55,0.12,27.91
FMTX,13-AUG-21,Jun 2021,-0.79,-0.92,-0.13,-16.46
FN,16-AUG-21,Jun 2021,1.22,1.31,0.09,7.38
FNB,19-JUL-21,Jun 2021,0.28,0.31,0.03,10.71
FND,05-AUG-21,Jun 2021,0.62,0.73,0.11,17.74
FNF,03-AUG-21,Jun 2021,1.39,2.06,0.67,48.2
FNKO,05-AUG-21,Jun 2021,0.17,0.4,0.23,135.29
FOCS,05-AUG-21,Jun 2021,0.96,0.98,0.02,2.08
FOE,04-AUG-21,Jun 2021,0.31,0.35,0.04,12.9
FOLD,05-AUG-21,Jun 2021,-0.21,-0.19,0.02,9.52
FOR,20-JUL-21,Jun 2021,0.45,0.61,0.16,35.56
FORM,28-JUL-21,Jun 2021,0.33,0.36,0.03,9.09
FORR,28-JUL-21,Jun 2021,0.56,0.66,0.1,17.86
FOUR,05-AUG-21,Jun 2021,0.28,0.22,-0.06,-21.43
FOXA,04-AUG-21,Jun 2021,0.56,0.65,0.09,16.07
FOXF,05-AUG-21,Jun 2021,1.02,1.2,0.18,17.65
FPI,04-AUG-21,Jun 2021,-0.05,-0.19,-0.14,-280.0
FR,21-JUL-21,Jun 2021,0.47,0.48,0.01,2.13
FRC,13-JUL-21,Jun 2021,1.71,1.95,0.24,14.04
FREE,09-AUG-21,Jun 2021,0.17,0.14,-0.03,-17.65
FRG,03-AUG-21,Jun 2021,0.85,1.16,0.31,36.47
FRME,26-JUL-21,Jun 2021,0.94,1.03,0.09,9.57
FRO,26-AUG-21,Jun 2021,-0.08,-0.12,-0.04,-50.0
FROG,05-AUG-21,Jun 2021,0.01,0.01,0.0,0.0
FRPT,02-AUG-21,Jun 2021,-0.06,-0.17,-0.11,-183.33
FRT,04-AUG-21,Jun 2021,1.16,1.41,0.25,21.55
FSBC,26-JUL-21,Jun 2021,0.56,0.67,0.11,19.64
FSLR,29-JUL-21,Jun 2021,0.6,0.77,0.17,28.33
FSLY,04-AUG-21,Jun 2021,-0.17,-0.15,0.02,11.76
FSP,03-AUG-21,Jun 2021,0.17,0.15,-0.02,-11.76
FSR,05-AUG-21,Jun 2021,-0.22,-0.18,0.04,18.18
