ticker,date,period_ending,estimate,reported,surprise,surprise%
USB,15-JUL-21,Jun 2021,1.14,1.28,0.14,12.28
USFD,09-AUG-21,Jun 2021,0.34,0.58,0.24,70.59
USM,05-AUG-21,Jun 2021,0.43,0.39,-0.04,-9.3
USNA,27-JUL-21,Jun 2021,1.78,1.87,0.09,5.06
USPH,05-AUG-21,Jun 2021,0.74,0.96,0.22,29.73
UTHR,04-AUG-21,Jun 2021,2.86,3.65,0.79,27.62
UTL,03-AUG-21,Jun 2021,0.2,0.18,-0.02,-10.0
UTZ,12-AUG-21,Jun 2021,0.14,0.13,-0.01,-7.14
UUUU,30-JUL-21,Jun 2021,-0.04,-0.07,-0.03,-75.0
UVE,28-JUL-21,Jun 2021,0.52,0.65,0.13,25.0
UVSP,28-JUL-21,Jun 2021,0.65,0.71,0.06,9.23
V,27-JUL-21,Jun 2021,1.33,1.49,0.16,12.03
VAC,28-JUL-21,Jun 2021,0.89,0.85,-0.04,-4.49
VAPO,09-AUG-21,Jun 2021,-0.64,-0.67,-0.03,-4.69
VBIV,02-AUG-21,Jun 2021,-0.08,-0.07,0.01,12.5
VBTX,27-JUL-21,Jun 2021,0.6,0.6,0.0,0.0
VC,29-JUL-21,Jun 2021,0.06,-0.32,-0.38,-633.33
VCEL,04-AUG-21,Jun 2021,-0.06,-0.08,-0.02,-33.33
VCYT,29-JUL-21,Jun 2021,-0.25,-0.13,0.12,48.0
VEC,10-AUG-21,Jun 2021,1.14,1.52,0.38,33.33
VECO,03-AUG-21,Jun 2021,0.27,0.35,0.08,29.63
VEEV,01-SEP-21,Jul 2021,0.86,0.94,0.08,9.3
VERA,16-AUG-21,Jun 2021,-0.39,-0.33,0.06,15.38
VERI,03-AUG-21,Jun 2021,-0.15,-0.12,0.03,20.0
VERU,12-AUG-21,Jun 2021,-0.06,-0.03,0.03,50.0
VFC,30-JUL-21,Jun 2021,0.11,0.27,0.16,145.45
VG,05-AUG-21,Jun 2021,0.04,0.05,0.01,25.0
VGR,04-AUG-21,Jun 2021,0.25,0.63,0.38,152.0
VIAV,12-AUG-21,Jun 2021,0.19,0.22,0.03,15.79
VICI,28-JUL-21,Jun 2021,0.47,0.54,0.07,14.89
VICR,22-JUL-21,Jun 2021,0.33,0.43,0.1,30.3
VIR,05-AUG-21,Jun 2021,-0.68,0.46,1.14,167.65
VIRT,04-AUG-21,Jun 2021,0.75,0.63,-0.12,-16.0
VITL,10-AUG-21,Jun 2021,-0.01,0.09,0.1,1000.0
VIVO,06-AUG-21,Jun 2021,0.31,0.22,-0.09,-29.03
VKTX,28-JUL-21,Jun 2021,-0.19,-0.2,-0.01,-5.26
VLDR,05-AUG-21,Jun 2021,-0.16,-0.18,-0.02,-12.5
VLO,29-JUL-21,Jun 2021,0.15,0.48,0.33,220.0
VLY,22-JUL-21,Jun 2021,0.3,0.3,0.0,0.0
VMC,04-AUG-21,Jun 2021,1.67,1.57,-0.1,-5.99
VMI,21-JUL-21,Jun 2021,2.51,3.06,0.55,21.91
VMW,26-AUG-21,Jul 2021,1.62,1.75,0.13,8.02
VNDA,28-JUL-21,Jun 2021,0.17,0.17,0.0,0.0
VNO,02-AUG-21,Jun 2021,0.69,0.69,0.0,0.0
VNT,06-AUG-21,Jun 2021,0.54,0.61,0.07,12.96
